train dataset: torch.Size([1, 512, 512]) (x130200)
tval_ff dataset: torch.Size([1, 512, 512]) (x8400)
tval_bd dataset: torch.Size([1, 512, 512]) (x6720)
tval_hd_comb dataset: torch.Size([1, 512, 512]) (x5600)
tval_hd_novel dataset: torch.Size([1, 512, 512]) (x4480)
val dataset: torch.Size([1, 512, 512]) (x12600)
num params: 8.1M
epoch 76, train 0.6442|0.6382, val 0.6751|0.6067, tval_ff 0.6834|0.5725, tval_bd 0.6495|0.6635, tval_hd_comb 0.7092|0.5775, tval_hd_novel 0.6847|0.6031, 7.3m 9.3h/12.2h
epoch 77, train 0.6425|0.6560, val 0.6721|0.6172, tval_ff 0.6764|0.6150, tval_bd 0.6549|0.6750, tval_hd_comb 0.6993|0.5275, tval_hd_novel 0.6698|0.5922, 7.3m 9.4h/12.2h
epoch 78, train 0.6522|0.6391, val 0.6734|0.6178, tval_ff 0.6782|0.5933, tval_bd 0.6542|0.6448, tval_hd_comb 0.6997|0.5625, tval_hd_novel 0.6913|0.5781, 7.3m 9.5h/12.2h
epoch 79, train 0.6401|0.6427, val 0.6731|0.6056, tval_ff 0.6640|0.6200, tval_bd 0.6460|0.6708, tval_hd_comb 0.6821|0.5700, tval_hd_novel 0.6985|0.5766, 7.3m 9.7h/12.2h
epoch 80, train 0.6474|0.6302, val 0.6699|0.6194, tval_ff 0.6837|0.5942, tval_bd 0.6636|0.6708, tval_hd_comb 0.6844|0.5513, tval_hd_novel 0.6637|0.5844, 7.4m 9.8h/12.2h
epoch 81, train 0.6391|0.6378, val 0.6647|0.6133, tval_ff 0.6748|0.6133, tval_bd 0.6551|0.6667, tval_hd_comb 0.6866|0.5700, tval_hd_novel 0.6887|0.5641, 7.4m 9.9h/12.2h
epoch 82, train 0.6274|0.6618, val 0.6843|0.5950, tval_ff 0.6786|0.5800, tval_bd 0.6541|0.6635, tval_hd_comb 0.7009|0.5675, tval_hd_novel 0.6516|0.6125, 7.4m 10.0h/12.2h
epoch 83, train 0.6433|0.6449, val 0.6780|0.6050, tval_ff 0.6809|0.5675, tval_bd 0.6358|0.6604, tval_hd_comb 0.7171|0.5437, tval_hd_novel 0.6763|0.6000, 7.4m 10.2h/12.2h
epoch 84, train 0.6455|0.6316, val 0.6692|0.6317, tval_ff 0.6734|0.6100, tval_bd 0.6397|0.6740, tval_hd_comb 0.6850|0.5663, tval_hd_novel 0.6906|0.5844, 7.4m 10.3h/12.2h
epoch 85, train 0.6345|0.6556, val 0.6644|0.6350, tval_ff 0.6753|0.5958, tval_bd 0.6438|0.7250, tval_hd_comb 0.6816|0.5825, tval_hd_novel 0.6662|0.6109, 7.4m 10.4h/12.2h
epoch 86, train 0.6335|0.6516, val 0.6698|0.6211, tval_ff 0.6814|0.5783, tval_bd 0.6494|0.6875, tval_hd_comb 0.6922|0.5713, tval_hd_novel 0.6941|0.5703, 7.4m 10.5h/12.2h
