train dataset: torch.Size([1, 512, 512]) (x130200)
tval_ff dataset: torch.Size([1, 512, 512]) (x8400)
tval_bd dataset: torch.Size([1, 512, 512]) (x6720)
tval_hd_comb dataset: torch.Size([1, 512, 512]) (x5600)
tval_hd_novel dataset: torch.Size([1, 512, 512]) (x4480)
val dataset: torch.Size([1, 512, 512]) (x12600)
num params: 8.2M
epoch 59, train 0.6120|0.6560, val 0.6585|0.6328, tval_ff 0.6718|0.5683, tval_bd 0.6272|0.6781, tval_hd_comb 0.7284|0.6025, tval_hd_novel 0.6975|0.6094, 7.0m 6.9h/11.7h
epoch 60, train 0.5991|0.6711, val 0.6982|0.6178, tval_ff 0.6750|0.5892, tval_bd 0.6217|0.6625, tval_hd_comb 0.7755|0.5913, tval_hd_novel 0.7159|0.5875, 7.0m 7.0h/11.7h
epoch 61, train 0.5928|0.6676, val 0.6897|0.6128, tval_ff 0.6684|0.5767, tval_bd 0.6275|0.6417, tval_hd_comb 0.7930|0.5525, tval_hd_novel 0.7272|0.5797, 7.0m 7.1h/11.7h
epoch 62, train 0.5997|0.6640, val 0.6801|0.6011, tval_ff 0.6843|0.5567, tval_bd 0.6255|0.6573, tval_hd_comb 0.7282|0.6262, tval_hd_novel 0.7273|0.5922, 7.0m 7.2h/11.7h
epoch 63, train 0.6056|0.6756, val 0.6688|0.6211, tval_ff 0.6671|0.5850, tval_bd 0.6040|0.6604, tval_hd_comb 0.7093|0.6100, tval_hd_novel 0.7176|0.6031, 7.0m 7.3h/11.7h
epoch 64, train 0.6277|0.6378, val 0.6607|0.6139, tval_ff 0.6608|0.5867, tval_bd 0.5999|0.6542, tval_hd_comb 0.7939|0.5563, tval_hd_novel 0.6899|0.6203, 7.0m 7.5h/11.7h
epoch 65, train 0.6101|0.6480, val 0.6784|0.6200, tval_ff 0.6639|0.5967, tval_bd 0.6127|0.6604, tval_hd_comb 0.6890|0.6287, tval_hd_novel 0.6787|0.6125, 7.0m 7.6h/11.7h
epoch 66, train 0.6160|0.6391, val 0.6803|0.6133, tval_ff 0.6584|0.5675, tval_bd 0.6123|0.6687, tval_hd_comb 0.8150|0.5638, tval_hd_novel 0.6968|0.6328, 7.0m 7.7h/11.7h
epoch 67, train 0.6052|0.6653, val 0.6874|0.6017, tval_ff 0.6687|0.5850, tval_bd 0.6036|0.6635, tval_hd_comb 0.7647|0.5575, tval_hd_novel 0.6941|0.6109, 7.0m 7.8h/11.7h
epoch 68, train 0.6196|0.6547, val 0.6790|0.6150, tval_ff 0.6636|0.5983, tval_bd 0.6231|0.6438, tval_hd_comb 0.7275|0.5975, tval_hd_novel 0.6996|0.6016, 7.0m 7.9h/11.7h
epoch 69, train 0.6178|0.6680, val 0.6579|0.6311, tval_ff 0.6701|0.5758, tval_bd 0.6004|0.6792, tval_hd_comb 0.7313|0.5913, tval_hd_novel 0.6862|0.6094, 7.0m 8.0h/11.7h
epoch 70, train 0.6026|0.6671, val 0.6737|0.6250, tval_ff 0.6622|0.5783, tval_bd 0.6174|0.6583, tval_hd_comb 0.7457|0.5963, tval_hd_novel 0.7163|0.6250, 7.0m 8.2h/11.7h
epoch 71, train 0.5962|0.6609, val 0.6719|0.6128, tval_ff 0.6840|0.5533, tval_bd 0.6327|0.6573, tval_hd_comb 0.7527|0.5900, tval_hd_novel 0.6694|0.6297, 7.0m 8.3h/11.7h
epoch 72, train 0.5926|0.6791, val 0.6801|0.6100, tval_ff 0.6566|0.5892, tval_bd 0.6261|0.6583, tval_hd_comb 0.7519|0.5963, tval_hd_novel 0.7543|0.5922, 7.0m 8.4h/11.7h
epoch 73, train 0.5957|0.6756, val 0.7062|0.6022, tval_ff 0.6666|0.6050, tval_bd 0.6050|0.6781, tval_hd_comb 0.7968|0.5975, tval_hd_novel 0.7478|0.6047, 7.0m 8.5h/11.7h
epoch 74, train 0.6009|0.6769, val 0.6853|0.6028, tval_ff 0.6729|0.5758, tval_bd 0.6205|0.6625, tval_hd_comb 0.7779|0.5562, tval_hd_novel 0.6531|0.6516, 7.0m 8.6h/11.7h
epoch 75, train 0.6003|0.6640, val 0.6767|0.6139, tval_ff 0.6768|0.5692, tval_bd 0.6218|0.6708, tval_hd_comb 0.7394|0.6038, tval_hd_novel 0.6826|0.5891, 7.0m 8.8h/11.7h
epoch 76, train 0.5916|0.6760, val 0.7018|0.5928, tval_ff 0.6680|0.5817, tval_bd 0.6133|0.6385, tval_hd_comb 0.7933|0.5850, tval_hd_novel 0.7437|0.5891, 7.0m 8.9h/11.7h
epoch 77, train 0.5985|0.6636, val 0.6864|0.6228, tval_ff 0.6632|0.5908, tval_bd 0.5966|0.6813, tval_hd_comb 0.7789|0.5975, tval_hd_novel 0.7304|0.6109, 7.0m 9.0h/11.7h
epoch 78, train 0.6279|0.6467, val 0.6725|0.6200, tval_ff 0.6713|0.5758, tval_bd 0.5947|0.6813, tval_hd_comb 0.7387|0.5850, tval_hd_novel 0.7262|0.5719, 7.0m 9.1h/11.7h
